ln(St) - ln(St-k),"ln(Ft,t-k) - ln(St-k)"
0.08629675094682998,-0.030708409089482025
-0.0413514831421109,0.00839948941997637
-0.04798090621477069,-0.007693595949022303
-0.06101842151327386,0.005631987160201746
-0.05049914961434432,0.014876483045110689
-0.014646145266524968,-0.001143035402675352
0.1279058558245243,0.014498375555104914
-0.0019083975257601082,-0.014692730821857403
0.05611878227774003,0.009201862489988777
0.048882803939751085,0.00349582799207937
-0.02323549715374451,-0.002781345395921342
-0.09009182300940477,-0.0032677790047026534
-0.2699989685957149,-0.0006709158252338199
0.06535300021643753,0.03444995153701269
-0.15216112433387652,-0.013912613953985353
0.019009740580800738,-0.014541356218104262
-0.2006485222673251,0.014856171022340714
-0.15164509542366966,0.0017436796048269088
-0.1311044267691357,0.09117044054662227
-0.022068991502476543,-0.055454039784677
0.29919045264852384,0.1208199875434448
0.1536613233212849,0.07763125209652166
0.0751933736120991,-0.00647101865175026
0.14912786839501413,0.01624935627397539
-0.06384061548451925,-0.0017798877436958627
0.0021042571131335563,0.02197058070539537
0.05039311952537906,0.00937213982886309
0.02329622526923414,-0.008293766566297212
0.05475699949825552,-0.016638560481490483
0.041322474830344014,0.022948228423044448
0.08499177812242564,0.008678099008756046
0.08881232940813621,0.02910034473460854
0.07433338014313495,0.024627179781182562
0.07714310862677465,0.00948019332548089
0.06223323442588491,-0.009974391292994156
-0.022135855632225976,0.01791761260040836
-0.19056830775342348,0.002887671657196833
0.10915828903327629,-0.0008496899143208836
-0.10409389104263322,0.0001584158419154491
-0.026145280104322488,0.00954454100356994
0.030501926401363733,-0.012357997338287241
0.07589146651612388,-0.02621171727139604
-0.9837766505449324,0.02632977178383733
0.1925211798015738,0.025355131862244917
0.04290652133898698,0.02634593468130264
0.01487551422278166,-0.02595640334424587
0.12938491789396522,0.03025913984212414
0.16518370024738038,0.009328958661555475
0.03914264203044837,0.042714654271395425
-0.02203154245318739,-0.010476286291755343
-0.07829883397778836,0.03287607061294473
-0.08894748601649649,0.002760940473002904
-0.10257603405350935,0.0001313801486491073
0.22811008829442603,0.030537818457966992
0.0938551437040509,-0.003419140731436343
-0.044898452882289774,-0.010390505497003488
-0.0015101356183482295,-0.025987705068493128
-0.06939409522471696,-0.010467605133583469
0.06809679046344108,0.030100871424889597
0.1342896900058932,0.030753717102427913
-0.08088860006008325,0.011492911588614874
-0.022632428198509302,-0.01659146565018954
-0.13199371933333381,-0.05417943582462126
