,0
0,-0.20741305570986032
1,-0.2571443595433927
2,-0.03805142574320653
3,0.28040002775857115
4,0.6980331894329969
5,0.6032068578308604
6,0.24894012225287093
7,0.06033070141878852
8,-0.5079331096093254
9,-0.5050794891675949
10,-0.4243137639529892
11,-0.23535651084459877
12,0.081762613304092
13,0.10690515001733371
14,0.09552318953045945
15,0.06499930199763052
16,0.015591999218706715
17,0.10325186564578832
18,-0.02361914150565063
19,-0.15712343397859962
20,-0.16797284534514173
21,-0.21891463271826136
22,-0.0953297435989631
23,0.059149455861074944
24,0.1157299126802665
25,0.10889850233505302
26,0.07860893339972623
27,0.003821208660239342
28,-0.031953980182471406
29,-0.057895193328414196
30,-0.10690967573496726
31,-0.10959656581460216
32,-0.08085535983050797
33,-0.027299721986717106
34,0.0027281101385954916
35,0.013223187437703829
36,-0.041467266659241955
37,-0.12121199333245701
38,-0.17327417846015844
39,-0.16148082538155706
40,-0.1120407287100437
41,-0.16543979373326867
42,-0.21187912718607047
43,-0.31501147103607197
44,-0.25094563974479095
45,-0.2106647140194159
46,-0.11435575060124814
47,0.08897496471199158
48,0.15677442444755313
49,0.2313128810979953
50,0.2694480967341487
51,0.03958934014057616
52,0.022084967224199264
53,-0.026941244587116372
54,-0.08600419254742626
55,-0.013000289840563154
56,-0.025729832694928553
57,0.014856443678114561
58,0.042397746321351695
59,0.11508458904032612
60,0.023553305930723887
61,-0.06386568303560687
62,-0.07351986833057454
63,-0.10529278773685669
64,-0.08385332766714354
65,0.015224902507274877
66,0.0447637057735219
67,0.10466142378413444
68,0.01944518664680962
69,0.11329300771052825
70,0.17924163767120135
71,0.11139040105540549
72,0.1299139707177581
73,0.1460987341708202
74,0.08213561975475789
75,0.14183982764605796
76,0.2626309523437135
77,0.18588732709037487
78,0.19168336601037156
79,0.19573594855013712
80,0.03552723390725925
81,-0.12679890353066686
82,-0.1282460825583564
83,-0.1937539533488088
84,-0.1045668665188706
85,-0.01607956775805605
86,-0.034333567408063835
87,-0.048470328988233974
88,-0.018806800704308457
89,0.0323950656303434
90,-0.07675664568120913
91,-0.14475451657237268
92,-0.223224832990929
93,-0.3393686107389342
94,-0.24452828808029348
95,-0.1815450640607137
96,-0.17650211274983474
97,-0.16690189868717786
98,-0.16607526604371067
99,-0.2617429257000438
100,-0.04339611752792259
101,-0.08867016647711014
102,-0.30394053673776544
103,-0.17741846901369296
104,-0.26387161587515306
105,-0.2186867309290431
106,0.26167348794943157
107,0.37613215334925665
108,0.24413251761776503
109,0.4021642089813065
110,0.18675188932413328
111,0.19828219577335773
112,0.3595261414475781
113,0.1046434119730975
114,0.17299241126128945
115,0.14267891890737427
116,0.1492058011237177
117,0.3223848723134238
118,0.15651097078960954
119,0.07815212007848127
120,0.116332940355032
121,0.1807032878758662
122,0.04472736071853073
123,0.26036055913445666
124,0.09591459596506563
125,0.08861226277669515
126,0.19297981833001954
127,-0.16961531869601415
128,-0.0842007995934383
129,-0.11754762314885207
130,-0.19031347070634919
131,0.10286662669212358
132,0.03098926649627083
